period,start_time,end_time,duration_hours,avg_precip,P_P_coef,P_T_coef,P_H_coef,P_CO2_coef,P_aero_coef,T_P_coef,T_T_coef,T_H_coef,T_CO2_coef,T_aero_coef,H_P_coef,H_T_coef,H_H_coef,H_CO2_coef,H_aero_coef,CO2_P_coef,CO2_T_coef,CO2_H_coef,CO2_CO2_coef,CO2_aero_coef,aero_P_coef,aero_T_coef,aero_H_coef,aero_CO2_coef,aero_aero_coef,P_P_elem,P_T_elem,P_H_elem,P_CO2_elem,P_aero_elem,T_P_elem,T_T_elem,T_H_elem,T_CO2_elem,T_aero_elem,H_P_elem,H_T_elem,H_H_elem,H_CO2_elem,H_aero_elem,CO2_P_elem,CO2_T_elem,CO2_H_elem,CO2_CO2_elem,CO2_aero_elem,aero_P_elem,aero_T_elem,aero_H_elem,aero_CO2_elem,aero_aero_elem
evening,2025-05-29 16:00:00,2025-05-30 02:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.44602070084934214]","[0.15563508752976243, 0.0018381195119015056]","[-0.1553779441359325, -0.09257374042685054]","[0.31948974557945686, -0.12462277887010745]","[0.0, 0.0]","[0.15563508752976243, 0.06752792905098262]","[0.0, 0.2003203498688125]","[-0.4855952014789536, -0.33116763863717563]","[0.25992595234785637, -0.09298616138241557]","[0.0, 0.0]","[-0.1553779441359325, -0.0761193098125896]","[-0.4855952014789536, -0.39171514217226233]","[0.0, 0.44206297302066727]","[-0.07488601180376724, 0.07006315096481722]","[0.0, 0.0]","[0.31948974557945686, 0.2206971203314706]","[0.25992595234785637, 0.01563491724179054]","[-0.07488601180376724, -0.09763280288287773]","[0.0, -0.0438664419562254]",[],[],[],[],[],[],[1],[],[],[],[],[],[1],"[0, 1]",[],[],[],"[0, 1]",[1],[],[],[],[],[],[1]
evening,2025-05-30 16:00:00,2025-05-31 02:00:00,10,1.299,"[0.0, -0.07038684270552918]","[-0.09519620799905969, -0.06324459102019522]","[0.5032034411448768, -0.13712532027799818]","[0.02988750527172799, 0.4163090056483603]","[-0.6021394095499907, 0.005276965693676739]","[-0.09519620799905969, 0.10211604940995092]","[0.0, 0.6836076752404724]","[-0.07991960264405155, 0.10466187817475113]","[-0.49927905010628815, -0.5682893908205128]","[0.05782381366337248, -0.07491700531007313]","[0.5032034411448768, 0.014217107545870217]","[-0.07991960264405155, -0.005644157820756931]","[0.0, -0.10100459135891365]","[-0.11185503171032828, 0.23964511765415566]","[-0.16159797715365326, -0.00212649966574751]","[0.02988750527172799, -0.07604664334892705]","[-0.49927905010628815, -0.4221908940007616]","[-0.11185503171032828, -0.11364489985661036]","[0.0, 0.37154583765771343]","[-0.006529895302951005, 0.029893148526117293]","[-0.6021394095499907, 0.06123722627560575]","[0.05782381366337248, 0.05898129560905984]","[-0.16159797715365326, 0.08882874549446261]","[-0.006529895302951005, -0.2570190222791416]","[0.0, -0.045829378279399216]",[],[],[0],[1],[],[],[1],[],"[0, 1]",[],[0],[],[],[1],[],[],[0],[],[1],[],[],[],[],[],[]
evening,2025-05-31 16:00:00,2025-06-01 02:00:00,10,0.374,"[0.0, 0.009024989138021636]","[-0.2143408674414234, 0.017218265673032425]","[-0.0640472328487878, 0.1788063295522548]","[-0.06853810995232237, 0.054528693773894556]","[0.18804532062121668, 0.11650647239394618]","[-0.2143408674414234, -0.00895721827301655]","[0.0, -0.0397383249686619]","[-0.023958048439251606, 0.03813243809758931]","[-0.494942707848625, 0.0683481882842114]","[0.05460658219833354, 0.05166478435781267]","[-0.0640472328487878, 0.13389767835181815]","[-0.023958048439251606, -0.01713480813390859]","[0.0, 0.34732291372662716]","[0.0986762768362298, 0.03870272467740269]","[0.5731543597433141, 0.40629475999479236]","[-0.06853810995232237, 0.01627227272917928]","[-0.494942707848625, 0.03534780028191579]","[0.0986762768362298, -0.03508100299029779]","[0.0, -0.0643227935294844]","[-0.029651800986392134, -0.04936941084983502]","[0.18804532062121668, 0.19418182490553468]","[0.05460658219833354, -0.03453651598313298]","[0.5731543597433141, 0.5448990421540282]","[-0.029651800986392134, 0.06809926652988883]","[0.0, 0.49519932175925513]",[],[],[],[],[0],[1],[],[],[],[1],[],[],[],[],[],[],[],[],[],[],[0],[],[],[],[1]
evening,2025-06-01 16:00:00,2025-06-02 02:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, -0.09294053001074537]","[0.005410804251250535, 0.05526118895735867]","[-0.5580176691240883, -0.027654756552565087]","[0.0449268255726565, 0.0050987548726552055]","[0.0, 0.0]","[0.005410804251250535, 0.05437055895136081]","[0.0, 0.7083953001751367]","[0.008257986943463053, 0.05654689408004265]","[0.7857300208652098, 0.7782514549129383]","[0.0, 0.0]","[-0.5580176691240883, 0.012105956932799193]","[0.008257986943463053, -0.019679992843665586]","[0.0, -0.04579922933021614]","[0.0017337891534935873, -0.0016261775905618003]","[0.0, 0.0]","[0.0449268255726565, 0.09438208214294659]","[0.7857300208652098, 0.8199656931625111]","[0.0017337891534935873, 0.010567485263534243]","[0.0, 0.8420777742745743]",[],[],[],[],[],[],[1],"[0, 1]",[],"[0, 1]",[],"[0, 1]",[1],[],"[0, 1]",[],[],[],[],[],[],"[0, 1]","[0, 1]",[],[1]
evening,2025-06-02 16:00:00,2025-06-03 02:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.4541209484737742]","[-0.21604880607518764, 0.13035647523902333]","[0.23690303046546343, -0.09394142160070931]","[-0.22798280490733694, 0.1469309058747124]","[0.0, 0.0]","[-0.21604880607518764, -0.12799674546845596]","[0.0, -0.03748685194171818]","[-0.6308808659454764, 0.008173902381062637]","[0.815191067358045, -0.027030596654400035]","[0.0, 0.0]","[0.23690303046546343, 0.1488335751715259]","[-0.6308808659454764, 0.03233191294328785]","[0.0, -0.034277766486362125]","[-0.7069712498366686, 0.028373054191249338]","[0.0, 0.0]","[-0.22798280490733694, -0.1510460506953356]","[0.815191067358045, -0.04862423447419803]","[-0.7069712498366686, 0.008127865164311092]","[0.0, -0.04596803662864672]",[],[],[],[],[],[],[1],[],[],[],[],[],[1],[1],"[0, 1]",[],[],[],[1],[0],[],[],"[0, 1]","[0, 1]",[1]
evening,2025-06-03 16:00:00,2025-06-04 02:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, -0.018066315442012756]","[-0.08073512117384098, -0.42334307766313645]","[-0.2093981507584892, -0.17415124063610865]","[-0.7022628419910254, 0.029233408998289002]","[0.0, 0.0]","[-0.08073512117384098, -0.05320857081127284]","[0.0, 0.014430034861228081]","[0.1789303858668426, 0.14159388117515276]","[0.14964577864291712, 0.02734683504332612]","[0.0, 0.0]","[-0.2093981507584892, 0.07632003929756771]","[0.1789303858668426, 0.09248046331877559]","[0.0, 0.50151135422649]","[0.23866286954708166, -0.08694188792351772]","[0.0, 0.0]","[-0.7022628419910254, -0.009013941714866143]","[0.14964577864291712, 0.5288963260928845]","[0.23866286954708166, 0.18422616111767756]","[0.0, -0.045829378279399216]",[],[],[],[],[],[],[1],[],[],[0],[],[],[1],[],[],[],[],[],[1],[],[],"[0, 1]",[1],[],[]
evening,2025-06-06 16:00:00,2025-06-07 02:00:00,10,0.094,"[0.0, -0.04893652393173835]","[-0.11304078142823666, -0.004257883965782357]","[-0.15031295533543582, 0.01927315180714184]","[-0.012554583791624831, 0.6208584715338348]","[-0.1059719359203233, 0.4775581446431423]","[-0.11304078142823666, -0.02381316355696921]","[0.0, -0.03354701763264004]","[0.03305786294251047, 0.004920007232926553]","[-0.3771845208038018, -0.05200565822856906]","[0.01505065878606383, -0.09189748168655945]","[-0.15031295533543582, -0.07266515419725805]","[0.03305786294251047, 0.010857432535378889]","[0.0, -0.0021589770805091617]","[-0.15764419162999618, -0.09177231985029088]","[-0.07979796012544017, -0.04452765920156654]","[-0.012554583791624831, -0.06418093746490346]","[-0.3771845208038018, 0.02588362121662592]","[-0.15764419162999618, 0.0817054269665673]","[0.0, -0.03083893872429202]","[0.5373616295974721, 0.0037882157237433545]","[-0.1059719359203233, -0.07329496191269494]","[0.01505065878606383, -0.00943076604942123]","[-0.07979796012544017, 0.016445284570137258]","[0.5373616295974721, -0.07564852221974575]","[0.0, -0.07152368481342233]",[],[],[],[1],[1],[],[1],[],"[0, 1]",[],[],[],[],[],[],[],[0],[],[1],[0],[],[],[],[0],[]
evening,2025-06-07 16:00:00,2025-06-08 02:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.48743019379265895]","[-0.09574888114000299, 0.019365973670475264]","[-0.1289518018962633, -0.0588188328951265]","[-0.05696125398744867, 0.029173326258532802]","[0.0, 0.0]","[-0.09574888114000299, -0.11632319756836873]","[0.0, 0.3395120864392063]","[0.2394310081647058, 0.16273977798635506]","[0.07313818134075631, 0.03367696045025585]","[0.0, 0.0]","[-0.1289518018962633, -0.052501824929552195]","[0.2394310081647058, 0.13706222936440796]","[0.0, 0.3701543331641153]","[0.36676147767215717, -0.03354260091237369]","[0.0, 0.0]","[-0.05696125398744867, -0.0289455190396519]","[0.07313818134075631, 0.041853196942729966]","[0.36676147767215717, 0.23075312088102062]","[0.0, -0.045829378279399216]",[],[],[],[],[],[],[1],[],[1],[],[],[],[],[],[],[],[],[],[1],[],[],[],[],[],[]
evening,2025-06-08 16:00:00,2025-06-09 02:00:00,10,0.114,"[0.0, 0.0032467121262991917]","[-0.058043506028489275, -0.023415241445864605]","[-0.3150712941503503, -0.06324858107095739]","[-0.22348343201589108, 0.23027396078785364]","[0.1452738387051023, 0.06039173726921178]","[-0.058043506028489275, -0.02159980237453765]","[0.0, -0.04411544042374193]","[0.5171362975110845, -0.03477230930649243]","[0.15641228969958842, -0.29930879513038455]","[-0.06348566187477486, 0.047280970227823196]","[-0.3150712941503503, 0.07786771535515775]","[0.5171362975110845, -0.013820835749175335]","[0.0, -0.0720160042597006]","[0.09359451335009004, -0.4986776290789434]","[0.1299980668979691, 0.048296286361064866]","[-0.22348343201589108, -0.06405684757574036]","[0.15641228969958842, 0.045514933208278034]","[0.09359451335009004, 0.06935089334589403]","[0.0, -0.05236575552047806]","[-0.3410595701454575, 0.03782798918674039]","[0.1452738387051023, 0.048848019651534264]","[-0.06348566187477486, 0.07204790656199442]","[0.1299980668979691, -0.0788143489478741]","[-0.3410595701454575, -0.08025326904765118]","[0.0, -0.043810455435720375]",[],[],[],[],[],[],[1],"[0, 1]",[],[],[],[0],[1],[1],[],[],[],[],[1],[],[],[],[],[],[]
evening,2025-06-09 16:00:00,2025-06-10 02:00:00,10,0.001,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, -0.025845806706904076]","[-0.30725006189610116, 0.03898780716715803]","[-0.4600162931738017, -0.04495921449222921]","[0.3526000020354116, 0.0043084403717878195]","[0.0, 0.0]","[-0.30725006189610116, 0.01984223691900149]","[0.0, -0.04787031152682173]","[-0.209933802225745, 0.018565659436047773]","[0.5101855532866956, -0.005412275421412412]","[0.0, 0.0]","[-0.4600162931738017, 0.018260959774802094]","[-0.209933802225745, -0.025983353666479282]","[0.0, -0.044108667124021624]","[-0.5538376201594312, -0.02277355716986386]","[0.0, 0.0]","[0.3526000020354116, -0.020853981095669813]","[0.5101855532866956, -0.0223451732569095]","[-0.5538376201594312, 0.004293936355894839]","[0.0, -0.0438664419562254]",[],[],[],[],[],[],[],[],[1],[],[],[],[1],[],"[0, 1]",[],[],[],[1],[],[],[],[0],[],[]
evening,2025-06-10 16:00:00,2025-06-11 02:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, -0.07157453589506464]","[-0.6501093722893251, -0.0043059269030828965]","[0.24147840078429528, -0.055280908781241485]","[-0.05148083944038862, -0.06128996305609436]","[0.0, 0.0]","[-0.6501093722893251, 0.03320515684982216]","[0.0, -0.007298916212774542]","[-0.19646160171702956, -0.016060129067650742]","[0.09894345065788185, 0.14709164849899553]","[0.0, 0.0]","[0.24147840078429528, 0.007690935288022016]","[-0.19646160171702956, -0.04361577230463999]","[0.0, -0.09723575828531236]","[-0.3223734181155893, -0.18543870871627607]","[0.0, 0.0]","[-0.05148083944038862, 0.020617470964988394]","[0.09894345065788185, -0.01696608383735837]","[-0.3223734181155893, 0.13426139947188379]","[0.0, 0.47049033502499943]",[],[],[],[],[],[],[1],[0],[],[],[],"[0, 1]",[1],[],[],[],[],[],[],[],[],[],[],[],[1]
