period,start_time,end_time,duration_hours,avg_precip,P_P_coef,P_T_coef,P_H_coef,P_CO2_coef,P_aero_coef,T_P_coef,T_T_coef,T_H_coef,T_CO2_coef,T_aero_coef,H_P_coef,H_T_coef,H_H_coef,H_CO2_coef,H_aero_coef,CO2_P_coef,CO2_T_coef,CO2_H_coef,CO2_CO2_coef,CO2_aero_coef,aero_P_coef,aero_T_coef,aero_H_coef,aero_CO2_coef,aero_aero_coef,P_P_elem,P_T_elem,P_H_elem,P_CO2_elem,P_aero_elem,T_P_elem,T_T_elem,T_H_elem,T_CO2_elem,T_aero_elem,H_P_elem,H_T_elem,H_H_elem,H_CO2_elem,H_aero_elem,CO2_P_elem,CO2_T_elem,CO2_H_elem,CO2_CO2_elem,CO2_aero_elem,aero_P_elem,aero_T_elem,aero_H_elem,aero_CO2_elem,aero_aero_elem
morning,2025-05-10 04:00:00,2025-05-10 14:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.9245711241591077]","[-0.015375863439061761, -0.009500673701886366]","[-0.5327314163477246, -0.4638723370090683]","[-0.7100440919389228, -0.6965026632106073]","[0.0, 0.0]","[-0.015375863439061761, -0.07138118647168358]","[0.0, -0.03613675178038674]","[0.21535226731579918, 0.06785037850356364]","[0.04870861020026209, 0.14990817299239464]","[0.0, 0.0]","[-0.5327314163477246, -0.5153612831169727]","[0.21535226731579918, -0.01636530894496274]","[0.0, 0.27507982985708895]","[0.4233020313227914, 0.47670356414588083]","[0.0, 0.0]","[-0.7100440919389228, -0.6860206231931457]","[0.04870861020026209, -0.0418686211956575]","[0.4233020313227914, 0.43288417501196086]","[0.0, 0.7277261868026323]",[],[],[],[],[],[],[1],[],"[0, 1]",[1],[],[],[],[],[],[],"[0, 1]",[],[1],"[0, 1]",[],[],[],[0],[1]
morning,2025-05-11 04:00:00,2025-05-11 14:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.7737888816729174]","[0.13553132094691747, 0.02564659663198309]","[-0.7346544466801163, -0.6826703986740817]","[-0.020884935716044068, 0.081701883604403]","[0.0, 0.0]","[0.13553132094691747, 0.05178869791431872]","[0.0, 0.41149625380956595]","[-0.09351779586041736, -0.07614087618143923]","[-0.0052880380513176525, -0.032702759302281066]","[0.0, 0.0]","[-0.7346544466801163, -0.6269623853124838]","[-0.09351779586041736, -0.015182548274152465]","[0.0, 0.6554903520742281]","[0.04513087166830647, -0.07873268159329623]","[0.0, 0.0]","[-0.020884935716044068, 0.020482020765994254]","[-0.0052880380513176525, -0.047050300588980395]","[0.04513087166830647, -0.005818546689525175]","[0.0, -0.047578446165179145]",[],[],[],[],[],[],[1],[],"[0, 1]",[],[],[],[1],[],[],[],"[0, 1]",[1],[],[],[],[],[],[],[]
morning,2025-05-12 04:00:00,2025-05-12 14:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.881969093544966]","[0.6369822749869462, 0.6708805607646099]","[-0.7837217821671479, -0.749408991709688]","[0.020787482210422533, -0.09062880683263458]","[0.0, 0.0]","[0.6369822749869462, 0.5997639948419268]","[0.0, 0.5161682178869734]","[-0.6308521509806735, -0.5545792280394527]","[-0.17066729694591276, -0.07906626567886553]","[0.0, 0.0]","[-0.7837217821671479, -0.7249875361945826]","[-0.6308521509806735, -0.602076614927465]","[0.0, 0.7994090735871254]","[0.04112674452297707, 0.03927006477278134]","[0.0, 0.0]","[0.020787482210422533, -0.048020071809348044]","[-0.17066729694591276, -0.03519201393665992]","[0.04112674452297707, -0.016515043182092463]","[0.0, -0.0438664419562254]",[],[],[],[],[],[],[1],"[0, 1]","[0, 1]",[1],[],"[0, 1]",[1],[0],"[0, 1]",[],"[0, 1]","[0, 1]",[1],[1],[],[],[0],[],[1]
morning,2025-05-13 04:00:00,2025-05-13 14:00:00,10,0.841,"[0.0, -0.1135971342929382]","[-0.030696636588122866, 0.009966191292240979]","[-0.14947691357960746, -0.0632285543124353]","[0.17237316208844325, 0.1016128816428858]","[-0.21883856334085602, 0.0353853635054885]","[-0.030696636588122866, 0.017785003428926454]","[0.0, -0.018948520539636884]","[0.3848697860980785, -0.10195206775568719]","[-0.06531038756046247, 0.038309820083645814]","[-0.4886972668587744, 0.019019472637475283]","[-0.14947691357960746, 0.03540469880028011]","[0.3848697860980785, 0.002984262745433009]","[0.0, -0.07591987379660702]","[-0.3294625783720261, -0.03623062389528276]","[0.08343734735284908, -0.020267688058231533]","[0.17237316208844325, -0.016385118797085183]","[-0.06531038756046247, 0.06493782009465984]","[-0.3294625783720261, 0.06273726578046368]","[0.0, 0.2041364408711456]","[-0.07529529417650059, 0.0002496439830316957]","[-0.21883856334085602, 0.02730129465359188]","[-0.4886972668587744, -0.015362999441569002]","[0.08343734735284908, 0.050226222782571196]","[-0.07529529417650059, -0.04409293631898748]","[0.0, -0.04596803662864672]",[],[],[],[],[],[],[1],[],[],[],[],[],[],[],[],[],[],[],[1],[],[],[],[],[],[]
morning,2025-05-14 04:00:00,2025-05-14 14:00:00,10,0.247,"[0.0, -0.0003845891708432673]","[0.03606633283707583, 0.012432415252855496]","[-0.07671282971479222, -0.40540841619818074]","[-0.32656787859768066, 0.011282790058243926]","[-0.4805154005589413, 0.02920557379801861]","[0.03606633283707583, -0.09152120462025685]","[0.0, 0.7039356241657112]","[0.2802741376870916, 0.22350247745108118]","[-0.1653012773318382, 0.14292503716943797]","[0.3170561574359057, 0.51462063811634]","[-0.07671282971479222, -0.03384777423944601]","[0.2802741376870916, 0.27323970947158477]","[0.0, 0.0515002551053589]","[-0.019839086723944497, 0.033430593331247344]","[0.04852147432367091, 0.21923455827797306]","[-0.32656787859768066, 0.014871708855244773]","[-0.1653012773318382, -0.08833630779754324]","[-0.019839086723944497, 0.38311077230601964]","[0.0, -0.06332144408474312]","[0.4852465965578296, -0.11968015779123807]","[-0.4805154005589413, -0.03954499686568799]","[0.3170561574359057, 0.36179315013159685]","[0.04852147432367091, 0.7229872023764953]","[0.4852465965578296, 0.0321971119324418]","[0.0, 0.17438654863349598]",[],[],[],[],[],[],[1],"[0, 1]",[],"[0, 1]",[],[0],[1],[],[],[],[],[],[],[],[],[0],[1],[],[]
morning,2025-05-15 04:00:00,2025-05-15 14:00:00,10,0.546,"[0.0, -0.10132457420424631]","[-0.006526490025516845, -0.028541973797635515]","[-0.33785267787606116, 0.010953851422393105]","[-0.2466881506184355, 0.0044704159935241355]","[-0.03798861799581085, -0.060634792624530975]","[-0.006526490025516845, 0.0007342959995694564]","[0.0, 0.9917782411102755]","[-0.01296648254503829, -0.015966041394929083]","[0.0020134498817437636, 0.0003079426015640078]","[-0.19477613780460984, -0.1972321479767084]","[-0.33785267787606116, -0.0005730515439835858]","[-0.01296648254503829, -0.03248271795603304]","[0.0, -0.05485760355280212]","[0.25044277220363287, -0.007378294869645054]","[0.14507233807368466, 0.06048447044629648]","[-0.2466881506184355, 0.04073356205960733]","[0.0020134498817437636, -0.0024722764030062814]","[0.25044277220363287, -0.027021345901296054]","[0.0, -0.040147734945289774]","[-0.08274212249332155, -0.07595853550788413]","[-0.03798861799581085, 0.06069942985350574]","[-0.19477613780460984, -0.16269702560204577]","[0.14507233807368466, -0.04765751434481299]","[-0.08274212249332155, 0.08557831053490682]","[0.0, 0.5241087548433362]",[],[],[],[1],[1],[],[1],[],[],[],[],[],[],[],[],[],[],[],[],[0],[],[],[],[0],[1]
morning,2025-05-16 04:00:00,2025-05-16 14:00:00,10,0.003,"[0.0, -0.26290276289085635]","[-0.0021470866035951316, -0.020779775712448934]","[0.07671824618723576, 0.07030393987114641]","[0.12071585821355524, 0.005624641028699645]","[-0.4049869842749009, 0.03136678833614439]","[-0.0021470866035951316, 0.0623470593603361]","[0.0, 0.9048507177092325]","[0.05337285918654749, 0.03323302286122138]","[-0.016531222140401702, 0.004969655443425567]","[0.014779088380095017, -0.05260772962675156]","[0.07671824618723576, 0.15522162080764815]","[0.05337285918654749, 0.02722901335510465]","[0.0, 0.5925812855091767]","[-0.09938852308898252, 0.2122955198786294]","[0.07335030965287477, -0.21660276130867426]","[0.12071585821355524, -0.1715628754333488]","[-0.016531222140401702, -0.02876765689674952]","[-0.09938852308898252, -0.11549427938117864]","[0.0, -0.03331882926431471]","[-0.1968312810265746, -0.02457944585522689]","[-0.4049869842749009, 0.6447046042551289]","[0.014779088380095017, 0.03794467670497991]","[0.07335030965287477, 0.11797231556944435]","[-0.1968312810265746, -0.0020279281558943365]","[0.0, -0.045829378279399216]",[],[],[],[],[],[],[1],"[0, 1]","[0, 1]",[],[],"[0, 1]",[1],[0],[],[],[0],[0],[],[],[1],[],[],[],[1]
morning,2025-05-17 04:00:00,2025-05-17 14:00:00,10,0.013,"[0.0, -0.048572938660909615]","[0.007556476044969299, 0.05331222711687071]","[-0.14576736907150709, -0.008982284211616653]","[-0.008018997165970425, -0.034485516463663844]","[-0.0500565615420889, -0.12881737954309022]","[0.007556476044969299, -0.046468268201546405]","[0.0, 0.5714301915291065]","[-0.07736731545738507, -0.00594552744667893]","[-0.23676947561958242, -0.10424263279072463]","[-0.034499119040853385, -0.05591982512109557]","[-0.14576736907150709, 0.03181751391111541]","[-0.07736731545738507, 0.019595343287607106]","[0.0, -0.11077385619296226]","[0.17364346009349022, -0.016225048184545236]","[0.05041282248727747, 0.8306325872604259]","[-0.008018997165970425, -0.00419913852145351]","[-0.23676947561958242, -0.16675112672547454]","[0.17364346009349022, 0.043799453064064235]","[0.0, 0.5101753047861942]","[-0.07593264782068294, 0.1654981413939578]","[-0.0500565615420889, 0.011302685434559008]","[-0.034499119040853385, 0.007173456581348828]","[0.05041282248727747, -0.07360766820072227]","[-0.07593264782068294, -0.07609575355625903]","[0.0, -0.012853042200725438]",[],[],[],[],[],[],[1],[],"[0, 1]",[],[],[],[1],[],"[0, 1]",[],"[0, 1]",[],[1],[],[],[],"[0, 1]",[],[1]
morning,2025-05-18 04:00:00,2025-05-18 14:00:00,10,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, -0.07597218394449068]","[-0.06722409612978449, -0.03696634992071546]","[-0.7103583546556135, -0.01727358656528631]","[-0.05912044248558417, -0.031915038064311]","[0.0, 0.0]","[-0.06722409612978449, 0.06376276675747093]","[0.0, 0.45175147090391027]","[0.07781527694344406, -0.06306159853658609]","[0.37145482974280636, 0.24554802330129258]","[0.0, 0.0]","[-0.7103583546556135, 0.03783064734844856]","[0.07781527694344406, 0.056572482950885274]","[0.0, -0.034965701706238674]","[0.06394136809106982, 0.05344156917997989]","[0.0, 0.0]","[-0.05912044248558417, -0.01326423327252988]","[0.37145482974280636, 0.19531920014685442]","[0.06394136809106982, -0.012830380680540102]","[0.0, 0.4879181496666199]",[],[],[],[],[],[],[1],[],"[0, 1]",[],[],[],[1],[],[],[],"[0, 1]",[],[1],[0],[],[],[],[0],[1]
morning,2025-05-19 04:00:00,2025-05-19 14:00:00,10,0.005,"[0.0, -0.014471004374609889]","[0.11258016536560864, 0.12019344982230844]","[-0.21312488897430507, -0.07915601601394609]","[-0.012047626441699174, -0.12675018000705054]","[0.19604664961648585, 0.0990229318944749]","[0.11258016536560864, -0.17662512178827522]","[0.0, 0.5749786273377855]","[0.11556924874719857, -0.14809137632337696]","[-0.37133679563366084, -0.6065591941268341]","[-0.05285788330769117, -0.07897250953725318]","[-0.21312488897430507, 0.08353482144734872]","[0.11556924874719857, 0.08717953154953398]","[0.0, -0.022661727625496994]","[0.3426918181057869, -0.04191260777093248]","[-0.1362058160594472, 0.043259465394523744]","[-0.012047626441699174, 0.1000201878119647]","[-0.37133679563366084, -0.29949733304477183]","[0.3426918181057869, 0.10766463188433732]","[0.0, 0.3469719492796679]","[0.04832535263021087, 0.052198480316834335]","[0.19604664961648585, 0.054563542410942086]","[-0.05285788330769117, -0.0025958264343398357]","[-0.1362058160594472, -0.05801510876054039]","[0.04832535263021087, -0.3904869508733617]","[0.0, -0.0438664419562254]",[],[],[],[],[],[],[1],[],"[0, 1]","[0, 1]",[],[],[],[],[],[],"[0, 1]",[],[1],[0],[],"[0, 1]",[],"[0, 1]",[1]
