variable_pair,lag,n,% positive,% negative,% > 0.5,% < -0.5
P_P,1,71,81.69,18.31,71.83,0.0
P_P,2,60,90.0,10.0,53.33,0.0
P_P,3,45,93.33,6.67,40.0,0.0
P_P,4,42,95.24,4.76,21.43,0.0
P_P,5,39,89.74,10.26,20.51,0.0
P_H,0,18,44.44,55.56,0.0,0.0
P_H,1,17,41.18,58.82,0.0,0.0
P_H,2,12,33.33,66.67,0.0,0.0
P_H,3,13,30.77,69.23,0.0,0.0
P_H,4,13,30.77,69.23,0.0,0.0
P_H,5,14,35.71,64.29,0.0,0.0
P_aero,0,28,53.57,46.43,0.0,0.0
P_aero,1,27,55.56,44.44,0.0,0.0
P_aero,2,25,56.0,44.0,0.0,0.0
P_aero,3,27,59.26,40.74,0.0,0.0
P_aero,4,24,54.17,45.83,0.0,0.0
P_aero,5,22,59.09,40.91,0.0,0.0
T_T,1,80,90.0,10.0,82.5,0.0
T_T,2,80,91.25,8.75,85.0,0.0
T_T,3,80,88.75,11.25,70.0,0.0
T_T,4,76,92.11,7.89,63.16,0.0
T_T,5,71,91.55,8.45,59.15,0.0
T_H,1,64,89.06,10.94,35.94,1.56
T_H,0,67,89.55,10.45,50.75,1.49
T_H,2,63,82.54,17.46,30.16,1.59
T_H,3,60,86.67,13.33,25.0,1.67
T_H,4,59,81.36,18.64,20.34,1.69
T_H,5,56,82.14,17.86,21.43,1.79
T_aero,2,55,50.91,49.09,1.82,0.0
T_aero,3,55,50.91,49.09,1.82,0.0
T_aero,4,55,43.64,56.36,1.82,0.0
T_aero,0,55,50.91,49.09,1.82,1.82
T_aero,1,54,50.0,50.0,1.85,0.0
T_aero,5,52,46.15,53.85,1.92,0.0
H_P,0,18,44.44,55.56,0.0,0.0
H_P,1,19,52.63,47.37,0.0,0.0
H_P,2,23,47.83,52.17,0.0,0.0
H_P,3,22,45.45,54.55,0.0,0.0
H_P,4,24,50.0,50.0,0.0,0.0
H_P,5,22,59.09,40.91,0.0,0.0
H_T,1,64,87.5,12.5,40.62,1.56
H_T,2,64,89.06,10.94,40.62,1.56
H_T,3,62,87.1,12.9,40.32,0.0
H_T,4,61,88.52,11.48,24.59,0.0
H_T,5,60,90.0,10.0,20.0,0.0
H_T,0,67,89.55,10.45,50.75,1.49
H_H,1,81,85.19,14.81,79.01,0.0
H_H,2,74,90.54,9.46,74.32,0.0
H_H,3,68,91.18,8.82,64.71,0.0
H_H,4,64,92.19,7.81,64.06,0.0
H_H,5,63,90.48,9.52,52.38,0.0
H_aero,0,54,57.41,42.59,9.26,3.7
H_aero,1,54,55.56,44.44,5.56,3.7
H_aero,2,53,50.94,49.06,5.66,3.77
H_aero,3,53,47.17,52.83,3.77,3.77
H_aero,4,54,53.7,46.3,3.7,3.7
H_aero,5,53,56.6,43.4,3.77,3.77
aero_P,0,28,53.57,46.43,0.0,0.0
aero_P,1,25,56.0,44.0,4.0,0.0
aero_P,2,28,50.0,50.0,0.0,0.0
aero_P,3,25,56.0,44.0,0.0,0.0
aero_P,4,27,55.56,44.44,0.0,0.0
aero_P,5,28,46.43,53.57,0.0,0.0
aero_T,5,58,53.45,46.55,1.72,1.72
aero_T,0,55,50.91,49.09,1.82,1.82
aero_T,1,57,49.12,50.88,1.75,1.75
aero_T,2,60,43.33,56.67,1.67,1.67
aero_T,3,58,46.55,53.45,1.72,1.72
aero_T,4,56,51.79,48.21,1.79,1.79
aero_H,0,54,57.41,42.59,9.26,3.7
aero_H,1,55,60.0,40.0,9.09,7.27
aero_H,2,54,62.96,37.04,7.41,5.56
aero_H,3,56,60.71,39.29,8.93,5.36
aero_H,4,56,60.71,39.29,7.14,5.36
aero_H,5,57,63.16,36.84,7.02,5.26
aero_aero,1,79,89.87,10.13,89.87,0.0
aero_aero,2,79,91.14,8.86,84.81,0.0
aero_aero,3,77,90.91,9.09,72.73,0.0
aero_aero,4,77,93.51,6.49,63.64,0.0
aero_aero,5,75,89.33,10.67,54.67,0.0
P_T,0,23,43.48,56.52,0.0,4.35
P_T,1,22,31.82,68.18,0.0,0.0
P_T,2,21,28.57,71.43,0.0,0.0
P_T,3,20,35.0,65.0,0.0,0.0
P_T,5,23,30.43,69.57,0.0,0.0
P_T,4,23,30.43,69.57,0.0,0.0
T_P,0,23,43.48,56.52,0.0,4.35
T_P,1,24,54.17,45.83,0.0,0.0
T_P,2,25,56.0,44.0,0.0,0.0
T_P,3,23,65.22,34.78,0.0,0.0
T_P,4,26,65.38,34.62,0.0,0.0
T_P,5,25,64.0,36.0,0.0,0.0
