row_index,var_pair,lag,coef
0,T_T,1,0.7901664684698184
0,H_H,1,0.4946294669061816
0,H_CO2,0,0.10812669624215886
0,H_CO2,1,-0.11561955186938434
0,H_aero,0,0.04426064040390895
0,H_aero,1,-0.09062155594255876
0,CO2_H,0,0.10812669624215886
0,CO2_aero,0,0.7820482298255474
0,aero_H,0,0.04426064040390895
0,aero_H,1,-0.029811276151250638
0,aero_CO2,0,0.7820482298255474
0,aero_aero,1,0.33390374418616714
1,T_T,1,-0.07206433252030336
1,H_H,1,-0.015519268225314164
1,H_CO2,0,0.8370704963416981
1,H_CO2,1,-0.0002963933189224545
1,H_aero,0,0.7648016848643454
1,H_aero,1,0.0012824876950937466
1,CO2_H,0,0.8370704963416981
1,CO2_H,1,-0.02027545923912892
1,CO2_CO2,1,-0.02356354998323262
1,CO2_aero,0,0.7281631087706957
1,CO2_aero,1,0.006678106506065891
1,aero_H,0,0.7648016848643454
1,aero_H,1,0.0023878828687833448
1,aero_CO2,0,0.7281631087706957
1,aero_CO2,1,-0.029662623699586377
1,aero_aero,1,-0.043866441956225403
2,P_H,1,0.4379363434996305
2,T_T,1,-0.028090353426368057
2,T_H,0,-0.4809922784634015
2,H_T,0,-0.4809922784634015
2,CO2_P,1,0.24660202503202833
2,CO2_CO2,1,0.3865531157059893
2,aero_T,1,-0.015534159410943752
2,aero_aero,1,0.7934715069642093
3,T_T,1,-0.0128597981356764
3,T_H,0,-0.009397066101639671
3,T_H,1,-0.06294648598533782
3,T_CO2,0,0.7006060276904512
3,T_CO2,1,-0.02538770764273556
3,T_aero,0,0.8795450787633875
3,T_aero,1,-0.027423842801522068
3,H_T,0,-0.009397066101639671
3,H_T,1,-0.012796344682700344
3,H_H,1,0.5250854811106778
3,H_CO2,0,0.14825427659110618
3,H_CO2,1,-0.12051199812001605
3,H_aero,0,-0.06880471208998135
3,H_aero,1,-0.043520736527308
3,CO2_T,0,0.7006060276904512
3,CO2_T,1,0.017548637880880603
3,CO2_H,0,0.14825427659110618
3,CO2_H,1,0.08467361601711305
3,CO2_CO2,1,-0.0460310098631166
3,CO2_aero,0,0.5618560278965875
3,CO2_aero,1,-0.004646478875737004
3,aero_T,0,0.8795450787633875
3,aero_T,1,-0.0005307766471831986
3,aero_H,0,-0.06880471208998135
3,aero_H,1,-0.09928195918771121
3,aero_CO2,0,0.5618560278965875
3,aero_CO2,1,0.001500026437090283
3,aero_aero,1,-0.043866441956225403
4,T_T,1,0.8884513346770009
4,T_CO2,1,-0.06531937968416732
4,H_T,1,0.061665613793251355
4,H_H,1,0.5323598476045192
4,CO2_T,1,0.05400752066150798
4,aero_CO2,1,0.08214353241751526
4,aero_aero,1,0.49381762589668343
5,T_T,1,0.569041089402814
5,T_H,0,-0.12431722489626776
5,T_H,1,-0.1475535200492219
5,H_T,0,-0.12431722489626776
5,H_T,1,-0.13126166807722203
5,H_H,1,0.8280364934940162
5,CO2_T,1,-0.090471090731893
5,CO2_H,1,0.013135759409861105
5,CO2_CO2,1,-0.07285733169852275
5,aero_CO2,1,0.45295014069001316
6,T_T,1,0.5136424240096057
6,T_H,0,0.423755128819366
6,T_H,1,0.10013662156118261
6,H_T,0,0.423755128819366
6,CO2_CO2,1,0.3774483237180582
6,aero_CO2,1,0.42729240608790525
7,T_H,0,0.7860722559915806
7,H_T,0,0.7860722559915806
7,H_H,1,-0.059967737968511556
7,aero_CO2,1,0.32693683930653916
7,aero_aero,1,0.5267382927755537
8,T_T,1,0.43997112075799244
8,H_aero,0,0.44790751095256925
8,CO2_CO2,1,-0.03937620587259036
8,CO2_aero,1,-0.004382605430818489
8,aero_H,0,0.44790751095256925
9,T_T,1,0.47352372395998
9,H_CO2,0,0.9315764257481349
9,H_aero,0,0.05815608427626046
9,CO2_H,0,0.9315764257481349
9,aero_H,0,0.05815608427626046
9,aero_CO2,1,0.825363284920471
9,aero_aero,1,-0.043866441956225403
10,T_T,1,0.4452173232450364
10,T_H,0,0.01194981273951035
10,T_H,1,0.027384885870935738
10,T_aero,0,-0.06769843698883651
10,T_aero,1,0.005632262661843777
10,H_T,0,0.01194981273951035
10,H_T,1,0.006457393110845621
10,H_H,1,0.39134749088352666
10,H_aero,0,0.10458113810676294
10,H_aero,1,-0.045041941832334814
10,aero_T,0,-0.06769843698883651
10,aero_T,1,-0.03445775552932044
10,aero_H,0,0.10458113810676294
10,aero_H,1,0.016865206339659995
10,aero_aero,1,-0.04582937827939921
11,T_H,1,0.18688426858700505
11,H_H,1,0.40181685271775597
11,CO2_T,1,0.022449388428100844
11,CO2_CO2,1,-0.04654094081702991
11,aero_aero,1,0.5301312228167844
12,T_T,1,0.45278847109960035
12,T_H,0,0.6155129558389856
12,T_H,1,0.5231466172147273
12,H_T,0,0.6155129558389856
12,H_H,1,0.30752814642952975
12,H_CO2,1,0.0313533050236515
12,CO2_CO2,1,0.3754276739074911
12,aero_aero,1,0.49191271494792516
13,T_T,1,0.40514952495171447
13,H_H,1,0.003845922246664313
13,H_CO2,0,0.019431040559945614
13,H_CO2,1,0.07529072685182138
13,H_aero,0,0.568853984643436
13,H_aero,1,0.07607023607374912
13,CO2_H,0,0.019431040559945614
13,CO2_H,1,-0.053683668617359175
13,CO2_CO2,1,0.6026631546331953
13,CO2_aero,0,0.03943050435458859
13,CO2_aero,1,-0.12125631220490357
13,aero_H,0,0.568853984643436
13,aero_H,1,0.0011113646732674315
13,aero_CO2,0,0.03943050435458859
13,aero_CO2,1,0.042897081849167434
13,aero_aero,1,-0.043866441956225403
