Relation,Lag,Percentage,Count,Total Samples
P → P,1,90.91,110,121
P → P,2,80.17,97,121
P → P,3,66.12,80,121
P → P,4,61.16,74,121
P → P,5,58.68,71,121
P → T,0,34.71,42,121
P → T,1,35.54,43,121
P → T,2,33.88,41,121
P → T,3,33.06,40,121
P → T,4,35.54,43,121
P → T,5,34.71,42,121
P → H,0,29.75,36,121
P → H,1,28.93,35,121
P → H,2,25.62,31,121
P → H,3,25.62,31,121
P → H,4,26.45,32,121
P → H,5,27.27,33,121
P → aero,0,33.88,41,121
P → aero,1,33.06,40,121
P → aero,2,30.58,37,121
P → aero,3,35.54,43,121
P → aero,4,33.06,40,121
P → aero,5,33.06,40,121
T → P,0,34.71,42,121
T → P,1,36.36,44,121
T → P,2,37.19,45,121
T → P,3,36.36,44,121
T → P,4,38.84,47,121
T → P,5,36.36,44,121
T → T,1,98.35,119,121
T → T,2,98.35,119,121
T → T,3,98.35,119,121
T → T,4,94.21,114,121
T → T,5,90.08,109,121
T → H,1,81.82,99,121
T → H,0,84.3,102,121
T → H,2,80.17,97,121
T → H,3,76.86,93,121
T → H,4,75.21,91,121
T → H,5,72.73,88,121
T → aero,2,66.94,81,121
T → aero,3,66.94,81,121
T → aero,4,66.94,81,121
T → aero,0,68.6,83,121
T → aero,1,66.94,81,121
T → aero,5,65.29,79,121
H → P,0,29.75,36,121
H → P,1,29.75,36,121
H → P,2,32.23,39,121
H → P,3,32.23,39,121
H → P,4,33.06,40,121
H → P,5,31.4,38,121
H → T,1,81.82,99,121
H → T,2,81.82,99,121
H → T,3,79.34,96,121
H → T,4,77.69,94,121
H → T,5,76.86,93,121
H → T,0,84.3,102,121
H → H,1,100.0,121,121
H → H,2,94.21,114,121
H → H,3,89.26,108,121
H → H,4,85.95,104,121
H → H,5,84.3,102,121
H → aero,0,66.94,81,121
H → aero,1,68.6,83,121
H → aero,2,66.94,81,121
H → aero,3,65.29,79,121
H → aero,4,66.12,80,121
H → aero,5,65.29,79,121
aero → P,0,33.88,41,121
aero → P,1,32.23,39,121
aero → P,2,34.71,42,121
aero → P,3,32.23,39,121
aero → P,4,34.71,42,121
aero → P,5,33.88,41,121
aero → T,5,72.73,88,121
aero → T,0,68.6,83,121
aero → T,1,68.6,83,121
aero → T,2,73.55,89,121
aero → T,3,71.9,87,121
aero → T,4,69.42,84,121
aero → H,0,66.94,81,121
aero → H,1,67.77,82,121
aero → H,2,66.94,81,121
aero → H,3,67.77,82,121
aero → H,4,66.94,81,121
aero → H,5,68.6,83,121
aero → aero,1,97.52,118,121
aero → aero,2,96.69,117,121
aero → aero,3,95.04,115,121
aero → aero,4,95.04,115,121
aero → aero,5,92.56,112,121
