time,alt,base_time,corr_soil_heat_flow_1,lat,lon,net_radiation,qc_albedo,qc_battery_voltage,qc_corr_soil_heat_flow_1,qc_corr_soil_heat_flow_2,qc_corr_soil_heat_flow_3,qc_down_long,qc_down_short_hemisp,qc_energy_storage_change_1,qc_energy_storage_change_2,qc_energy_storage_change_3,qc_net_radiation,qc_soil_heat_capacity_1,qc_soil_heat_capacity_2,qc_soil_heat_capacity_3,qc_soil_heat_flow_1,qc_soil_heat_flow_2,qc_soil_heat_flow_3,qc_soil_moisture_1,qc_soil_moisture_2,qc_soil_moisture_3,qc_soil_temp_1,qc_soil_temp_2,qc_soil_temp_3,qc_surface_energy_balance,qc_surface_soil_heat_flux_1,qc_surface_soil_heat_flux_2,qc_surface_soil_heat_flux_3,qc_surface_soil_heat_flux_avg,qc_temp_net_radiometer,qc_up_long,qc_up_short_hemisp,qc_wetness,soil_heat_capacity_1,soil_heat_flow_1,soil_moisture_1,surface_energy_balance,surface_soil_heat_flux_1,surface_soil_heat_flux_avg,time_offset,wetness
2025-05-26 00:00:00,158.0,2025-05-26,,39.422,-77.21,-18.78619,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1525012.0,-9.028086,13.2766695,-15.32168,3.484387,3.498567,2025-05-26 00:00:00,3.024625
2025-05-26 00:30:00,158.0,2025-05-26,,39.422,-77.21,-26.75269,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1526594.0,-7.189629,13.358331,-19.83016,5.781999,8.415299,2025-05-26 00:30:00,3.024609
2025-05-26 01:00:00,158.0,2025-05-26,,39.422,-77.21,-28.01688,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1528279.0,-5.397142,13.45333,-18.92549,7.293922,7.665145,2025-05-26 01:00:00,3.024505
2025-05-26 01:30:00,158.0,2025-05-26,,39.422,-77.21,-29.97571,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1515619.0,-3.645718,13.01333,-22.11003,8.705092,7.895802,2025-05-26 01:30:00,3.024377
2025-05-26 02:00:00,158.0,2025-05-26,,39.422,-77.21,-33.09409,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1523480.0,-2.072252,13.268331,-24.8172,6.036942,8.303288,2025-05-26 02:00:00,3.024474
2025-05-26 02:30:00,158.0,2025-05-26,,39.422,-77.21,-33.9462,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1522510.0,-0.6681917,13.20667,-22.79673,12.26091,11.17241,2025-05-26 02:30:00,3.019568
2025-05-26 03:00:00,158.0,2025-05-26,,39.422,-77.21,-35.07111,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1525420.0,0.6024867,13.333329,-23.85863,9.179424,11.23308,2025-05-26 03:00:00,3.012329
2025-05-26 03:30:00,158.0,2025-05-26,,39.422,-77.21,-33.60645,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1525114.0,1.703739,13.315,-22.57768,10.27209,11.04677,2025-05-26 03:30:00,3.006812
2025-05-26 04:00:00,158.0,2025-05-26,,39.422,-77.21,-33.03986,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1517661.0,2.693507,13.079999,-22.22118,11.10886,10.83457,2025-05-26 04:00:00,2.989723
2025-05-26 04:30:00,158.0,2025-05-26,,39.422,-77.21,-30.66867,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1523531.0,3.587698,13.26167,-19.19291,12.04553,11.48898,2025-05-26 04:30:00,2.977338
