time,alt,base_time,corr_soil_heat_flow_1,lat,lon,net_radiation,qc_albedo,qc_battery_voltage,qc_corr_soil_heat_flow_1,qc_corr_soil_heat_flow_2,qc_corr_soil_heat_flow_3,qc_down_long,qc_down_short_hemisp,qc_energy_storage_change_1,qc_energy_storage_change_2,qc_energy_storage_change_3,qc_net_radiation,qc_soil_heat_capacity_1,qc_soil_heat_capacity_2,qc_soil_heat_capacity_3,qc_soil_heat_flow_1,qc_soil_heat_flow_2,qc_soil_heat_flow_3,qc_soil_moisture_1,qc_soil_moisture_2,qc_soil_moisture_3,qc_soil_temp_1,qc_soil_temp_2,qc_soil_temp_3,qc_surface_energy_balance,qc_surface_soil_heat_flux_1,qc_surface_soil_heat_flux_2,qc_surface_soil_heat_flux_3,qc_surface_soil_heat_flux_avg,qc_temp_net_radiometer,qc_up_long,qc_up_short_hemisp,qc_wetness,soil_heat_capacity_1,soil_heat_flow_1,soil_moisture_1,surface_energy_balance,surface_soil_heat_flux_1,surface_soil_heat_flux_avg,time_offset,wetness
2025-05-25 00:00:00,158.0,2025-05-25,,39.422,-77.21,-45.15915,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1594384.0,-6.69335,15.525,-39.63982,6.780034,8.277772,2025-05-25 00:00:00,3.025455
2025-05-25 00:30:00,158.0,2025-05-25,,39.422,-77.21,-71.4436,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1587901.0,-4.985445,15.414999,-58.52423,8.624008,10.23024,2025-05-25 00:30:00,3.025717
2025-05-25 01:00:00,158.0,2025-05-25,,39.422,-77.21,-64.80496,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1581622.0,-3.051087,15.16667,-49.51244,10.23529,15.32934,2025-05-25 01:00:00,3.025557
2025-05-25 01:30:00,158.0,2025-05-25,,39.422,-77.21,-59.72137,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1588565.0,-0.9898702,15.358331,-43.65004,16.58063,16.10974,2025-05-25 01:30:00,3.023688
2025-05-25 02:00:00,158.0,2025-05-25,,39.422,-77.21,-53.51236,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1580959.0,1.068308,15.14,-36.49849,14.55024,17.04955,2025-05-25 02:00:00,3.019017
2025-05-25 02:30:00,158.0,2025-05-25,,39.422,-77.21,-67.98248,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1589075.0,3.010875,15.449999,-49.16048,20.53036,20.29717,2025-05-25 02:30:00,3.012333
2025-05-25 03:00:00,158.0,2025-05-25,,39.422,-77.21,-66.81503,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1579530.0,4.768488,15.08667,-46.19752,17.79119,20.51657,2025-05-25 03:00:00,3.001271
2025-05-25 03:30:00,158.0,2025-05-25,,39.422,-77.21,-66.64484,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1579070.0,6.44166,15.07166,-45.75586,19.29427,20.93886,2025-05-25 03:30:00,2.979485
2025-05-25 04:00:00,158.0,2025-05-25,,39.422,-77.21,-66.22702,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1573966.0,8.003671,14.923329,-46.76726,21.11991,19.62749,2025-05-25 04:00:00,3.002664
2025-05-25 04:30:00,158.0,2025-05-25,,39.422,-77.21,-67.78668,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1579887.0,9.240376,15.054999,-45.30301,17.89381,21.02379,2025-05-25 04:30:00,3.010211
