,variable_pair,lag,n,% positive,% negative,% > 0.5,% < -0.5
0,P_P,1,12,100.0,0.0,100.0,0.0
1,P_P,2,12,100.0,0.0,75.0,0.0
2,P_P,3,12,100.0,0.0,66.67,0.0
3,P_P,4,12,100.0,0.0,50.0,0.0
4,P_P,5,11,100.0,0.0,54.55,0.0
5,P_T,0,6,66.67,33.33,33.33,0.0
6,P_T,1,6,83.33,16.67,33.33,0.0
7,P_T,2,6,83.33,16.67,33.33,0.0
8,P_T,3,6,83.33,16.67,33.33,0.0
9,P_T,4,6,100.0,0.0,33.33,0.0
10,P_T,5,6,100.0,0.0,33.33,0.0
11,P_H,0,9,66.67,33.33,22.22,0.0
12,P_H,1,8,75.0,25.0,25.0,0.0
13,P_H,2,8,75.0,25.0,25.0,0.0
14,P_H,3,8,75.0,25.0,25.0,0.0
15,P_H,4,8,75.0,25.0,25.0,0.0
16,P_H,5,8,75.0,25.0,25.0,0.0
17,T_P,0,6,66.67,33.33,33.33,0.0
18,T_P,1,7,57.14,42.86,28.57,0.0
19,T_P,2,6,83.33,16.67,33.33,0.0
20,T_P,3,6,83.33,16.67,33.33,0.0
21,T_P,4,6,83.33,16.67,33.33,0.0
22,T_P,5,6,83.33,16.67,33.33,0.0
23,T_T,1,12,100.0,0.0,91.67,0.0
24,T_T,2,12,91.67,8.33,91.67,0.0
25,T_T,3,12,91.67,8.33,91.67,0.0
26,T_T,4,12,100.0,0.0,91.67,0.0
27,T_T,5,12,100.0,0.0,83.33,0.0
28,T_H,0,11,81.82,18.18,54.55,0.0
29,T_H,1,11,81.82,18.18,45.45,0.0
30,T_H,2,12,75.0,25.0,33.33,0.0
31,T_H,3,11,72.73,27.27,36.36,0.0
32,T_H,4,12,75.0,25.0,33.33,0.0
33,T_H,5,12,75.0,25.0,25.0,0.0
34,H_P,0,9,66.67,33.33,22.22,0.0
35,H_P,1,9,66.67,33.33,22.22,0.0
36,H_P,2,9,77.78,22.22,22.22,0.0
37,H_P,3,9,66.67,33.33,22.22,0.0
38,H_P,4,9,66.67,33.33,22.22,0.0
39,H_P,5,9,66.67,33.33,22.22,0.0
40,H_T,0,11,81.82,18.18,54.55,0.0
41,H_T,1,11,81.82,18.18,45.45,0.0
42,H_T,2,11,72.73,27.27,45.45,0.0
43,H_T,3,11,72.73,27.27,45.45,0.0
44,H_T,4,11,81.82,18.18,45.45,0.0
45,H_T,5,11,81.82,18.18,45.45,0.0
46,H_H,1,12,100.0,0.0,91.67,0.0
47,H_H,2,12,91.67,8.33,91.67,0.0
48,H_H,3,12,91.67,8.33,91.67,0.0
49,H_H,4,12,100.0,0.0,83.33,0.0
50,H_H,5,12,100.0,0.0,75.0,0.0
51,T_aero,0,10,40.0,60.0,0.0,10.0
52,T_aero,1,10,30.0,70.0,0.0,10.0
53,T_aero,2,10,30.0,70.0,0.0,10.0
54,T_aero,3,10,30.0,70.0,0.0,10.0
55,T_aero,4,10,40.0,60.0,0.0,10.0
56,T_aero,5,10,30.0,70.0,0.0,10.0
57,H_aero,0,11,72.73,27.27,36.36,0.0
58,H_aero,1,11,63.64,36.36,36.36,0.0
59,H_aero,2,11,54.55,45.45,27.27,0.0
60,H_aero,3,11,63.64,36.36,27.27,0.0
61,H_aero,4,11,72.73,27.27,27.27,0.0
62,H_aero,5,11,72.73,27.27,18.18,0.0
63,aero_T,0,10,40.0,60.0,0.0,10.0
64,aero_T,1,10,40.0,60.0,10.0,10.0
65,aero_T,2,10,40.0,60.0,10.0,10.0
66,aero_T,3,10,40.0,60.0,10.0,10.0
67,aero_T,4,10,40.0,60.0,10.0,10.0
68,aero_T,5,11,36.36,63.64,9.09,9.09
