row_index,var_pair,lag,coef
0,P_aero,0,0.1584769831817496
0,T_T,1,0.4486934706129155
0,H_H,1,0.4602505989642044
0,H_CO2,0,0.22611051481659755
0,CO2_H,0,0.22611051481659755
0,CO2_CO2,1,0.3976911525152724
0,CO2_aero,0,0.5989513963491978
0,aero_P,0,0.1584769831817496
0,aero_P,1,0.09915747801629055
0,aero_CO2,0,0.5989513963491978
0,aero_CO2,1,0.6086764546828142
0,aero_aero,1,0.55696805529895
1,T_T,1,0.7650834007121876
1,T_CO2,0,0.07577815172071242
1,T_CO2,1,-0.24262710380962627
1,H_T,1,0.0497225567063476
1,H_H,1,0.411395027348597
1,CO2_T,0,0.07577815172071242
1,CO2_T,1,0.047267310925220636
1,CO2_CO2,1,-0.07245181816794267
1,aero_aero,1,0.49303026275976786
2,T_T,1,0.4121869732318454
2,T_H,0,0.5393884045319777
2,T_H,1,0.27483677169660387
2,T_CO2,1,-0.02173862270789961
2,H_T,0,0.5393884045319777
2,H_T,1,0.23678689129106573
2,H_H,1,0.452183353448174
2,H_CO2,1,-0.05241645968192055
2,CO2_CO2,1,-0.034360258812176844
2,aero_aero,1,0.4942998625134367
3,T_T,1,0.33161970363759313
3,T_CO2,0,-0.30207255655294957
3,T_CO2,1,-0.6984548149203424
3,T_aero,0,-0.670969390326066
3,T_aero,1,0.016253553307840323
3,CO2_T,0,-0.30207255655294957
3,CO2_CO2,1,0.2615511253777404
3,aero_T,0,-0.670969390326066
3,aero_T,1,-0.2968395998532859
3,aero_CO2,1,0.6401372004794836
4,P_CO2,1,0.6147699196536732
4,T_T,1,0.7538702458510176
4,T_CO2,0,-0.5313593822154858
4,T_CO2,1,-0.5037477527470037
4,H_P,1,0.46714698366233803
4,CO2_T,0,-0.5313593822154858
4,CO2_aero,0,0.1853979326245008
4,aero_CO2,0,0.1853979326245008
4,aero_aero,1,0.9178996921894595
5,T_T,1,0.9950084398989592
5,T_H,0,0.9606001682412857
5,T_H,1,0.9586156204393085
5,H_T,0,0.9606001682412857
5,H_T,1,0.936045924673838
5,H_H,1,0.9237385636499621
5,CO2_CO2,1,-0.0976827310480866
5,CO2_aero,0,0.15522998817523317
5,aero_H,1,0.17197057261271656
5,aero_CO2,0,0.15522998817523317
5,aero_aero,1,-0.027710841658889238
6,T_T,1,0.9282404749341211
6,T_H,0,0.06617503286078037
6,T_H,1,0.04886547783289184
6,T_CO2,0,-0.08291842185181725
6,T_CO2,1,-0.06511894613850883
6,H_T,0,0.06617503286078037
6,H_H,1,-0.017912526587942394
6,CO2_T,0,-0.08291842185181725
6,CO2_CO2,1,0.4302460345489943
6,aero_H,1,-0.00013793664693869667
6,aero_aero,1,0.48903461951622035
7,T_H,0,0.2951515178955294
7,H_T,0,0.2951515178955294
7,H_aero,0,0.10108230384585605
7,aero_H,0,0.10108230384585605
7,aero_H,1,-0.07545253039241093
7,aero_aero,1,0.5230362219696395
8,T_T,1,-0.14814652925855834
8,T_aero,1,-0.40106072217781547
8,H_H,1,0.43020701966278574
8,H_CO2,0,-0.19114390660634478
8,H_CO2,1,0.02882390288883176
8,CO2_T,1,0.7421522980626801
8,CO2_H,0,-0.19114390660634478
8,CO2_CO2,1,-0.08297515184491053
9,T_T,1,-0.022058457294728318
9,H_H,1,0.5405662727808294
9,CO2_CO2,1,0.615523999249523
9,aero_aero,1,-0.04582937827939921
10,T_T,1,0.39998524267404495
10,H_T,1,-0.02291649971094861
10,CO2_CO2,1,0.2822140096617313
10,CO2_aero,0,0.544194795823331
10,CO2_aero,1,0.25441225907188386
10,aero_H,1,0.24967184484525895
10,aero_CO2,0,0.544194795823331
10,aero_CO2,1,0.5119673817249589
10,aero_aero,1,0.36936185037357727
11,T_T,1,0.6017612602991866
11,T_CO2,1,-0.20732515426691703
11,CO2_CO2,1,-0.10216512763668648
11,aero_aero,1,-0.04582937827939921
12,T_T,1,0.45059402726189834
12,CO2_CO2,1,-0.09701908184899527
12,CO2_aero,0,0.011122991360276677
12,CO2_aero,1,0.03033883636417249
12,aero_CO2,0,0.011122991360276677
12,aero_CO2,1,-0.0677724259926185
12,aero_aero,1,0.6386988450990373
13,P_aero,1,0.5281989619803051
13,T_T,1,-0.01101389876633602
13,T_H,0,0.580386328158206
13,T_H,1,-0.02175433549190722
13,H_T,0,0.580386328158206
13,aero_aero,1,0.10127887547191765
14,T_T,1,-0.035587641286439944
14,T_H,1,0.8310551657132635
14,H_CO2,0,-0.08984692316034848
14,H_aero,1,0.741746853594041
14,CO2_H,0,-0.08984692316034848
14,CO2_H,1,-0.09167672696816224
14,CO2_CO2,1,0.3654546033964129
14,CO2_aero,1,-0.043442297674035076
14,aero_CO2,1,-0.049149887024899606
15,T_T,1,-0.013718110348334155
15,CO2_CO2,1,0.3037905303851773
16,T_T,1,0.47494744446965953
16,T_H,0,-0.04096174159213299
16,T_H,1,-0.08737297927214178
16,T_CO2,0,-0.004925342995997367
16,T_CO2,1,0.0011093670099882685
16,T_aero,0,0.018316988093510726
16,T_aero,1,-0.06636991804865011
16,H_T,0,-0.04096174159213299
16,H_T,1,0.0028782106336771775
16,H_H,1,-0.024546592930676618
16,H_CO2,0,-0.0031162996438538334
16,H_CO2,1,0.025039955513210175
16,H_aero,0,0.8809570161071992
16,H_aero,1,-0.005413098602750419
16,CO2_T,0,-0.004925342995997367
16,CO2_T,1,0.017660522732703667
16,CO2_H,0,-0.0031162996438538334
16,CO2_H,1,0.026040700395510177
16,CO2_CO2,1,0.44645329104014037
16,aero_T,0,0.018316988093510726
