row_index,var_pair,lag,coef
0,T_T,1,0.7159472778443572
0,T_CO2,0,0.015213079993468345
0,T_CO2,1,0.17760414350873388
0,H_H,1,0.4159296601717268
0,CO2_T,0,0.015213079993468345
0,CO2_T,1,0.08171419339798618
0,CO2_CO2,1,-0.036041649633829546
0,CO2_aero,0,0.6243737693665133
0,aero_T,1,0.04513196657842331
0,aero_CO2,0,0.6243737693665133
0,aero_aero,1,-0.04582937827939921
1,T_T,1,0.9306873157496299
1,T_H,0,0.8924001331941913
1,T_H,1,0.8613244401138334
1,T_aero,0,0.8744449608237289
1,T_aero,1,0.8910726774861264
1,H_T,0,0.8924001331941913
1,H_T,1,0.8937515545508206
1,H_H,1,0.8804978939580136
1,H_aero,0,0.9207308682764641
1,H_aero,1,0.8940141526710434
1,aero_T,0,0.8744449608237289
1,aero_T,1,0.8846534428200002
1,aero_H,0,0.9207308682764641
1,aero_H,1,0.8691812443448966
1,aero_aero,1,0.885751334337611
2,T_T,1,-0.032774576870056464
2,T_CO2,0,0.018897383798906632
2,T_CO2,1,-0.01856237104995756
2,T_aero,0,0.02978268569453209
2,T_aero,1,-0.03536499087833424
2,H_H,1,-0.04502624722537917
2,CO2_T,0,0.018897383798906632
2,CO2_T,1,-0.8032117418467627
2,CO2_CO2,1,-0.03638693104026411
2,CO2_aero,0,0.8517175701046792
2,CO2_aero,1,-0.04278430951340416
2,aero_T,0,0.02978268569453209
2,aero_T,1,-0.7460058801980778
2,aero_CO2,0,0.8517175701046792
2,aero_CO2,1,-0.03073270318102128
2,aero_aero,1,-0.04582937827939921
3,T_T,1,0.5113027054897487
3,T_CO2,0,0.18024887769160047
3,T_CO2,1,0.1319402040286817
3,T_aero,0,0.06702435724570352
3,T_aero,1,0.10110934730323887
3,H_T,1,0.06151420371896712
3,H_aero,1,0.17581838341265824
3,CO2_T,0,0.18024887769160047
3,CO2_T,1,-0.013301849283047788
3,CO2_CO2,1,-0.030344714226049323
3,CO2_aero,0,0.7595102819721485
3,CO2_aero,1,-0.14090694126285946
3,aero_T,0,0.06702435724570352
3,aero_T,1,-0.042248654810569296
3,aero_CO2,0,0.7595102819721485
3,aero_CO2,1,-0.021285435791591718
3,aero_aero,1,-0.12470242672860368
4,T_T,1,-0.11744702984397054
4,T_CO2,0,-0.6943850078757668
4,T_CO2,1,0.07235233589036413
4,T_aero,1,-0.20031073670684021
4,H_CO2,0,-0.35276627510879616
4,H_aero,0,0.14225680259030676
4,CO2_T,0,-0.6943850078757668
4,CO2_T,1,0.0542908567413397
4,CO2_H,0,-0.35276627510879616
4,CO2_H,1,0.38197698193575097
4,CO2_CO2,1,-0.03583588683120915
4,CO2_aero,0,0.5933366914611952
4,CO2_aero,1,0.28460746614036864
4,aero_H,0,0.14225680259030676
4,aero_H,1,0.5391813668400742
4,aero_CO2,0,0.5933366914611952
4,aero_CO2,1,-0.09729334059598051
4,aero_aero,1,0.3563649152103391
5,T_T,1,0.3410432549914367
5,T_CO2,0,-0.6186576601889905
5,T_CO2,1,-0.39820772219901246
5,T_aero,0,-0.45349889959034545
5,T_aero,1,-0.2940716466279448
5,H_H,1,0.028955215538109168
5,H_CO2,0,-0.14065639506198038
5,H_CO2,1,0.4106021235979772
5,H_aero,0,0.4116421022197844
5,H_aero,1,0.31603713658082516
5,CO2_T,0,-0.6186576601889905
5,CO2_T,1,-0.3396889363546244
5,CO2_H,0,-0.14065639506198038
5,CO2_H,1,0.0432324874232334
5,CO2_CO2,1,0.3368392346868905
5,CO2_aero,0,0.4202022730269113
5,CO2_aero,1,0.2751476213989314
5,aero_T,0,-0.45349889959034545
5,aero_T,1,-0.6032713047918387
5,aero_H,0,0.4116421022197844
5,aero_H,1,0.026875667535861326
5,aero_CO2,0,0.4202022730269113
5,aero_CO2,1,0.7693410478715577
5,aero_aero,1,0.49603266139249
6,P_H,0,0.17397067937477265
6,T_P,1,0.4100287351269388
6,T_T,1,-0.052504975800334315
6,T_H,1,0.39724257538954816
6,T_CO2,0,-0.6044947332529079
6,T_CO2,1,0.057942786492079505
6,H_P,0,0.17397067937477265
6,H_H,1,0.3678637288737581
6,CO2_T,0,-0.6044947332529079
7,T_T,1,-0.05043775073048618
7,T_CO2,0,0.008897585576942186
7,T_CO2,1,-0.7619061770966059
7,T_aero,1,0.03426677811352199
7,H_H,1,0.4786511960153376
7,CO2_T,0,0.008897585576942186
7,CO2_T,1,0.026809501443888932
7,CO2_CO2,1,-0.08837766796318772
7,CO2_aero,0,-0.015141882729753442
7,CO2_aero,1,0.026515460525162772
7,aero_CO2,0,-0.015141882729753442
7,aero_aero,1,-0.04596803662864672
8,T_T,1,-0.049552225471861035
8,H_T,1,0.004018492655684588
8,H_H,1,-0.042377754595816275
8,aero_aero,1,-0.04582937827939921
9,T_T,1,-0.09395714999683626
9,T_CO2,0,-0.7878792816872086
9,T_CO2,1,0.06484785406681798
9,T_aero,0,0.005851200715742256
9,H_H,1,0.44566286879377404
9,CO2_T,0,-0.7878792816872086
9,CO2_T,1,0.03657105380633512
9,CO2_aero,1,0.7798323909068586
9,aero_T,0,0.005851200715742256
9,aero_T,1,0.027594272138779897
9,aero_CO2,1,-0.038111203163255884
9,aero_aero,1,0.014570460691884057
10,T_T,1,-0.024446942176715853
10,T_CO2,0,0.055085422621295996
10,T_CO2,1,-0.7702960891993589
10,T_aero,0,0.002464087153585914
10,T_aero,1,0.09646092172673634
10,H_H,1,0.5221839618488173
10,CO2_T,0,0.055085422621295996
10,CO2_T,1,0.05554301101522929
