time,precipitation,relative_humidity,temperature,atmospheric pressure,albedo,wetness,net radiation,dew_point,specific_humidity
2024-12-01 00:00:00,0.0,48.507666666666665,-0.3585666666666666,101.54933333333334,0.3768676,3.038158,-94.72604,-10.657033333333333,1.6665814318156604
2024-12-01 00:30:00,0.0,49.13133333333334,-0.5473,101.55633333333334,0.3679816,3.038144,-93.77512,-10.721033333333333,1.6580051859604816
2024-12-01 01:00:00,0.0,51.74533333333333,-1.0251,101.557,0.361366,3.038051,-93.19382,-10.676033333333335,1.6639395556284529
2024-12-01 01:30:00,0.0,51.918,-1.175433333333333,101.56933333333332,0.3510397,3.038074,-92.78,-10.791833333333333,1.6484784278384166
2024-12-01 02:00:00,0.0,54.417,-1.554366666666667,101.57,0.322303,3.038172,-91.24875,-10.670966666666667,1.6643968700484482
2024-12-01 02:30:00,0.0,54.04733333333333,-1.6653999999999998,101.57666666666664,0.344205,3.038156,-90.51338,-10.855933333333335,1.639967372316851
2024-12-01 03:00:00,0.0,57.97033333333333,-2.3495,101.59133333333332,0.3255975,3.038193,-89.42804,-10.755433333333333,1.652902916520634
2024-12-01 03:30:00,0.0,58.49366666666666,-2.3012,101.60033333333332,0.283606,3.03827,-86.77547,-10.602466666666666,1.672985421019113
2024-12-01 04:00:00,0.0,63.241,-3.1846,101.616,0.3127947,3.038161,-84.05788,-10.5364,1.6815310385998123
2024-12-01 04:30:00,0.0,64.30066666666667,-3.080366666666667,101.61333333333332,0.3170582,3.038079,-83.84485,-10.220233333333333,1.7242833146593763
2024-12-01 05:00:00,0.0,64.90266666666666,-2.9087666666666667,101.616,0.3150117,3.037822,-79.57623,-9.928233333333335,1.7645384755497204
2024-12-01 05:30:00,0.0,68.71499999999999,-3.568833333333333,101.59266666666667,0.3299406,3.037698,-76.0661,-9.825833333333335,1.779278206358719
2024-12-01 06:00:00,0.0,70.59833333333333,-3.630633333333333,101.57833333333332,0.3761747,3.037544,-65.94057,-9.510966666666668,1.8242647281476836
2024-12-01 06:30:00,0.0,71.14133333333332,-3.195333333333333,101.59,0.39197,3.0376,-62.29997,-8.967066666666668,1.903691489547077
2024-12-01 07:00:00,0.0,74.21366666666667,-3.520966666666667,101.60933333333332,0.4174969,3.037454,-58.6535,-8.678233333333333,1.9468600905111686
2024-12-01 07:30:00,0.0,68.72033333333334,-3.0492666666666666,101.617,0.4488963,3.03708,-52.59561,-9.305199999999997,1.853332933599372
2024-12-01 08:00:00,0.0,66.589,-2.5875666666666666,101.61066666666667,0.4419703,3.037116,-52.28638,-9.269766666666666,1.8586177045505023
2024-12-01 08:30:00,0.0,61.82333333333334,-2.0923333333333334,101.58866666666668,0.4833029,3.037352,-51.4986,-9.727666666666666,1.793187838431136
2024-12-01 09:00:00,0.0,61.504333333333335,-2.2817,101.57,0.4240668,3.03752,-56.4166,-9.980833333333333,1.7580140205333312
2024-12-01 09:30:00,0.0,63.55166666666666,-2.6189000000000004,101.577,0.3902951,3.037463,-73.40541,-9.908566666666667,1.7679620383087828
2024-12-01 10:00:00,0.0,64.51933333333334,-2.5661666666666667,101.58266666666668,0.4374807,3.037257,-67.78308,-9.662299999999998,1.8025630178202654
2024-12-01 10:30:00,0.0,66.32666666666667,-2.640633333333333,101.59866666666667,0.4055684,3.037009,-56.36653,-9.3753,1.843477930498022
2024-12-01 11:00:00,0.0,64.98166666666667,-2.2772666666666668,101.59666666666666,0.5632069,3.037093,-42.32887,-9.280933333333333,1.8572434710195804
2024-12-01 11:30:00,0.0,64.87066666666666,-2.175533333333333,101.59533333333334,0.4966151,3.037007,-40.05492,-9.2014,1.8689099755756955
2024-12-01 12:00:00,0.0,67.87766666666667,-2.2875666666666663,101.61133333333332,0.5273388,3.036892,-41.12119,-8.712033333333332,1.94168219620558
2024-12-01 12:30:00,0.0,64.65166666666667,-2.041333333333333,101.61166666666666,1.82187,3.036604,-45.22701,-9.110999999999999,1.8819189189392223
2024-12-01 13:00:00,0.0,63.07633333333333,-1.5711333333333333,101.617,0.05900748,3.036487,-30.58264,-8.955866666666667,1.9048566270826712
2024-12-01 13:30:00,0.0,61.13699999999999,-0.8288333333333333,101.61666666666666,0.06966219,3.036473,1.222168,-8.601433333333334,1.9584419564017117
2024-12-01 14:00:00,0.0,56.73133333333333,0.3467,101.605,0.1725233,3.036365,64.02722,-8.307033333333333,2.004194528013185
2024-12-01 14:30:00,0.0,53.32533333333333,1.121133333333333,101.6,0.1774387,3.036522,88.78751,-8.2138,2.01890764018386
2024-12-01 15:00:00,0.0,48.54733333333333,2.0423,101.58866666666668,0.1779238,3.036578,96.18332,-8.248233333333335,2.0137240686239273
2024-12-01 15:30:00,0.0,45.74966666666667,2.583633333333333,101.55666666666666,0.1779363,3.03653,141.746,-8.266433333333334,2.0115046750106917
2024-12-01 16:00:00,0.0,44.05166666666666,3.0027666666666666,101.50933333333334,0.183282,3.036379,205.5008,-8.186900000000001,2.0249511276042647
2024-12-01 16:30:00,0.0,42.027,3.4875666666666665,101.47266666666664,0.1882423,3.036589,275.3604,-8.107033333333334,2.0383178299511395
2024-12-01 17:00:00,0.0,41.04600000000001,4.058066666666667,101.42633333333332,0.1853566,3.036729,222.0958,-7.732733333333332,2.0994299467281783
2024-12-01 17:30:00,0.0,41.54866666666667,4.1901,101.40533333333332,0.1857108,3.036773,225.3599,-7.500166666666666,2.13805838676412
2024-12-01 18:00:00,0.0,41.64633333333334,4.689533333333333,101.38533333333334,0.1805778,3.036933,151.349,-6.981199999999999,2.2259675340841842
